DateCollected,BeeWeighedBy,DateBeeWeighed,PolWeighedBy,DatePolWeighed,DateEntered,Site,Habitat,BoxID,NestID,BoxNest_ID,NumCells_Complete,NumCells_Progress,Capped,Collected,Species,Cell_num-New-Old,Cell_num2,Cell_occupant,Life_stage,Sex,BeeMass_mg,PollenMass_mg,Nest notes,Cell_Notes,nBee_check,PollenMass_nCell_check,WrittenNotes from,Notes
2020-07-02,AH,2021-01-15,NA,NA,NA,C03,Control,A,16,C03-A16,1,0,N,Y,O. lignaria,01,16.01,Larvae,Larvae,NA,35.2,,1 Cell: 1 cocoon started,,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,AH,2021-01-18,NA,NA,NA,C03,Control,A,26,C03-A26,5,0,Y,Y,O. lignaria,01,26.01,Larvae,Larvae,NA,14,NA,"5 Cells: 3 cocoons, collected pollen from cells 4, 5",Cocoon spun,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,AH,2021-01-17,NA,NA,NA,C03,Control,A,26,C03-A26,5,0,Y,Y,O. lignaria,02,26.02,Larvae,Larvae,NA,24.6,NA,"5 Cells: 3 cocoons, collected pollen from cells 4, 5",Cocoon spun,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,AH,2021-01-16,NA,NA,NA,C03,Control,A,26,C03-A26,5,0,Y,Y,O. lignaria,03,26.03,Larvae,Larvae,NA,12.6,NA,"5 Cells: 3 cocoons, collected pollen from cells 4, 5",Cocoon spun,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,NA,NA,JMD,2020-08-25,2021-01-16,C03,Control,A,26,C03-A26,5,0,Y,Y,O. lignaria,04,26.04,Pollen,NA,NA,NA,234.2,"5 Cells: 3 cocoons, collected pollen from cells 4, 5",,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,NA,NA,JMD,2020-08-25,2021-01-16,C03,Control,A,26,C03-A26,5,0,Y,Y,O. lignaria,05,26.05,Pollen,NA,NA,NA,165.6,"5 Cells: 3 cocoons, collected pollen from cells 4, 5",,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,AH,2021-01-20,JMD,2020-08-25,2021-01-16,C03,Control,A,27,C03-A27,5,0,Y,Y,O. lignaria,01,27.01,Pollen,NA,NA,NA,94.8,"5 Cells: 2 cocoons, collected pollen from 1, 3, 5",,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,AH,,NA,NA,NA,C03,Control,A,27,C03-A27,5,0,Y,Y,O. lignaria,02,27.02,Larvae,Larvae,NA,25.3,NA,"5 Cells: 2 cocoons, collected pollen from 1, 3, 5",Cocoon spun,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,AH,2021-01-19,JMD,2020-08-25,2021-01-16,C03,Control,A,27,C03-A27,5,0,Y,Y,O. lignaria,03,27.03,Pollen,NA,NA,NA,98.3,"5 Cells: 2 cocoons, collected pollen from 1, 3, 5",,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,AH,,JMD,2020-08-25,2021-01-16,C03,Control,A,27,C03-A27,5,0,Y,Y,O. lignaria,04,27.04,Larvae,Larvae,NA,7.1,NA,"5 Cells: 2 cocoons, collected pollen from 1, 3, 5",Cocoon spun,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,NA,NA,JMD,2020-08-25,2021-01-16,C03,Control,A,27,C03-A27,5,0,Y,Y,O. lignaria,05,27.05,Pollen,NA,NA,NA,114,"5 Cells: 2 cocoons, collected pollen from 1, 3, 5",,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,NA,NA,JMD,2020-08-25,2021-01-16,C03,Control,A,31,C03-A31,4,1,N,Y,O. lignaria,00,31.00,Pollen,NA,NA,NA,5.5,"4.5 Cells: 4 Larvae - 3 with pollen, 2.5 pollen balls. Collected pollen from cells 1-4",half a pollen ball (if not less). No larvae,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,AH,2021-01-23,NA,NA,NA,C03,Control,A,31,C03-A31,4,1,N,Y,O. lignaria,01,31.01,Larvae,Larvae,NA,20.8,45.5,"4.5 Cells: 4 Larvae - 3 with pollen, 2.5 pollen balls. Collected pollen from cells 1-4",,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,AH,2021-01-21,JMD,2020-08-25,2021-01-16,C03,Control,A,31,C03-A31,4,1,N,Y,O. lignaria,02,31.02,Larvae,Larvae,NA,24,22.7,"4.5 Cells: 4 Larvae - 3 with pollen, 2.5 pollen balls. Collected pollen from cells 1-4",,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,AH,2021-01-22,JMD,2020-08-25,2021-01-16,C03,Control,A,31,C03-A31,4,1,N,Y,O. lignaria,03,31.03,Larvae,Larvae,NA,40.2,26.8,"4.5 Cells: 4 Larvae - 3 with pollen, 2.5 pollen balls. Collected pollen from cells 1-4",,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-02,AH,2021-01-24,NA,NA,NA,C03,Control,A,31,C03-A31,4,1,N,Y,O. lignaria,04,31.04,Larvae,Larvae,NA,51.3,NA,"4.5 Cells: 4 Larvae - 3 with pollen, 2.5 pollen balls. Collected pollen from cells 1-4",No pollen,JMD 2/12/24,JMD 1/31/24,"Pollen weight Notes (large, yellow write in the rain), Written bee count notes from AH",
2020-07-26,AH,2021-08-10,NA,NA,NA,C03,Control,B,17,C03-B17,2,0,Y,Y,Unk,01,17.01,Larvae,Larvae,NA,1.8,NA,"Stick & sap nest. 2 cells, 2 larva (small, mostly in small pollen globs in cells), pollen collected from cell 1","broke in two pieces, BOB?",JMD 2/13/24,,,
2020-07-26,AH,2021-08-09,NA,NA,NA,C03,Control,B,17,C03-B17,2,0,Y,Y,Unk,02,17.02,Larvae,Larvae,NA,4,NA,"Stick & sap nest. 2 cells, 2 larva (small, mostly in small pollen globs in cells), pollen collected from cell 1","both larvae very shriveled, BOB?",JMD 2/13/24,,,
2020-07-26,AH,2021-08-14,NA,NA,NA,C03,Control,B,18,C03-B18,4,0,Y,Y,Unk,01,18.01,Larvae,Larvae,NA,7.1,NA,"Stick & sap nest. 4 cells, 2 cocoons, 2 larva (one very small)","very dry and smushed, BOB?",JMD 2/13/24,,,
2020-07-26,AH,2021-08-13,NA,NA,NA,C03,Control,B,18,C03-B18,4,0,Y,Y,Unk,02,18.02,Larvae,Larvae,NA,19,NA,"Stick & sap nest. 4 cells, 2 cocoons, 2 larva (one very small)",BOB?,JMD 2/13/24,,,
2020-07-26,AH,2021-08-12,NA,NA,NA,C03,Control,B,18,C03-B18,4,0,Y,Y,Unk,03,18.03,Larvae,Larvae,NA,4.4,NA,"Stick & sap nest. 4 cells, 2 cocoons, 2 larva (one very small)",BOB?,JMD 2/13/24,,,
2020-07-26,AH,2021-08-11,NA,NA,NA,C03,Control,B,18,C03-B18,4,0,Y,Y,Unk,04,18.04,Larvae,Larvae,NA,4.3,NA,"Stick & sap nest. 4 cells, 2 cocoons, 2 larva (one very small)",BOB?,JMD 2/13/24,,,
